Yao Ming,"Person,Athlete",,,
Shaquille O'Neal,"Person,Athlete",,,
Michael Jordan,"Person,Athlete",,,
Manny Pacquiao,"Person,Athlete",,,
Lionel Messi,"Person,Athlete",,,
Cristiano Ronaldo,"Person,Athlete",,,
Angelina Jolie,"Person,Celebrity",,,
Brad Pitt,"Person,Celebrity",,,
Kevin Hart,"Person,Celebrity",,,
Tom Cruise,"Person,Celebrity",,,
Scarlet Johansen,"Person,Celebrity",,,
Leonardo DiCaprio,"Person,Celebrity",,,
Justin Timberlake,"Person,Celebrity",,,
Kanye West,"Person,Celebrity",,,
Justin Bieber,"Person,Celebrity",,,
Lil Wayne,"Person,Celebrity",,,
Britney Spears,"Person,Celebrity",,,
Kim Kardashian,"Person,Celebrity",,,
Barack Obama,"Person,Celebrity",,,
Donald Trump,"Person,Celebrity",,,
Jay-Z,"Person,Celebrity",,,
Mark Zuckerberg,"Person,Tech Celebrity",,,
Bill Gates,"Person,Tech Celebrity",,,
Elon Musk,"Person,Tech Celebrity",,,
Tim Cook,"Person,Tech Celebrity",,,
Vern Troyer,"Person,Celebrity",,,
Peter Dinklage,"Person,Celebrity",,,
George Clooney,"Person,Celebrity",,,
Ashton Kutcher,"Person,Celebrity",,,
Ryan Reynolds,"Person,Celebrity",,,
Bruce Willis,"Person,Celebrity",,,
Ryan Gosling,"Person,Celebrity",,,
Jamie Foxx,"Person,Celebrity",,,
Jennifer Lawrence,"Person,Celebrity",,,
Megan Fox,"Person,Celebrity",,,
Beyonce,"Person,Celebrity",,,
Mila Kunis,"Person,Celebrity",,,
Miley Cyrus,"Person,Celebrity",,,
Kendall Jenner,"Person,Celebrity",,,
Snooki,"Person,Celebrity",,,
Ke$ha,"Person,Celebrity",,,
Eminem,"Person,Celebrity",,,
Selena Gomez,"Person,Celebrity",,,
Jason Derulo,"Person,Celebrity",,,
Chris Brown,"Person,Celebrity",,,
Rihanna,"Person,Celebrity",,,
Lady Gaga,"Person,Celebrity",,,
Iggy Azalea,"Person,Celebrity",,,
Lil Jon,"Person,Celebrity",,,
Bruno Mars,"Person,Celebrity",,,
Usher,"Person,Celebrity",,,
Oprah Winfrey,"Person,Celebrity",,,
Dr. Oz,"Person,Celebrity",,,
Judge Judy,"Person,Celebrity",,,
J.K. Rowling,"Person,Celebrity",,,
The Queen of England,"Person,Celebrity",,,
Ellen DeGeneres,"Person,Celebrity",,,
Conan O'Brien,"Person,Celebrity",,,
Kate Middleton,"Person,Celebrity",,,
Steph Curry,"Person,Athlete",,,
Kevin Durant,"Person,Athlete",,,
Colin Kaepernick,"Person,Athlete",,,
Taylor Swift,"Person,Celebrity",,,
Eiffel Tower,"Tall Structure,Building",,,
Washington Monument,"Tall Structure,Building",,,
Space Needle,"Tall Structure,Building",,,
Pyramid Giza,"Tall Structure,Building",,,
Statue of Liberty,"Tall Structure,Building",,,
Capitol Building,"Tall Structure,Building",,,
Vatican St. Mark's,"Tall Structure,Building",,,
Taj Mahal,"Tall Structure,Building",,,
Leaning Tower of Pisa,"Tall Structure,Building",,,
Big Ben,"Tall Structure,Building",,,
General Sherman Tree,"Tall Structure,Natural Landmark",,,
Niagra Falls,"Tall Structure,Natural Landmark",,,
Machu Picchu,"Tall Structure,Mountain,Natural Landmark",,,
Mt. Kilimanjaro,"Tall Structure,Mountain,Natural Landmark",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
