"name","category","query","unit","tags","value","imageURL"
"Emma Watson","height","height","inches","celebrity, actress","",""
"Lightbulb Invented","history","date","date","world, tech","",""
"Normandy Invasion","history","date","date","world","",""
"Discovery of Plutonium","history","date","date","science","",""
"California Gold Rush","history","date","date","usa","",""
"JFK Assassination","history","date","date","usa","",""
"MLK Assassination","history","date","date","usa","",""
"Fall of Berlin Wall","history","date","date","world","",""
"Pearl Harbor Attack","history","date","date","usa","",""
"Great Depression","history","date","date","usa","",""
"First Moon Landing","history","date","date","usa, tech","",""
"Great Wall of China built","history","date","date","usa","",""
