name,category,query,unit,tags,value,imageURL
George Lopez,age,birthdate,date,celebrity,,
Joseph Gordon Levitt,age,birthdate,date,celebrity,,
Julia Roberts,age,birthdate,date,celebrity,,
Gwen Stefani,age,birthdate,date,celebrity,,
John Mayer,age,birthdate,date,celebrity,,
Michelle Obama,age,birthdate,date,celebrity,,
Christian Bale,age,birthdate,date,celebrity,,
James Franco,age,birthdate,date,celebrity,,
Natalie Portman,age,birthdate,date,celebrity,,
Nicole Kidman,age,birthdate,date,celebrity,,
Meryl Streep,age,birthdate,date,celebrity,,
Tom Hardy,age,birthdate,date,celebrity,,
Tobey Maguire,age,birthdate,date,celebrity,,
Cate Blanchett,age,birthdate,date,celebrity,,
Ben Affleck,age,birthdate,date,celebrity,,
Daniel Day-Lewis,age,birthdate,date,celebrity,,
Will Smith,age,birthdate,date,celebrity,,
Penelope Cruz,age,birthdate,date,celebrity,,
Forest Whitaker,age,birthdate,date,celebrity,,
Kate Winslet,age,birthdate,date,celebrity,,
Anne Hathaway,age,birthdate,date,celebrity,,
Charlize Theron,age,birthdate,date,celebrity,,
Reese Witherspoon,age,birthdate,date,celebrity,,
Don Cheadle,age,birthdate,date,celebrity,,
Hilary Swank,age,birthdate,date,celebrity,,
Alec Baldwin,age,birthdate,date,celebrity,,
Sean Penn,age,birthdate,date,celebrity,,
Naomi Watts,age,birthdate,date,celebrity,,
Russell Crowe,age,birthdate,date,celebrity,,
Joaquin Phoenix,age,birthdate,date,celebrity,,
Jeff Bridges,age,birthdate,date,celebrity,,
Judi Dench,age,birthdate,date,celebrity,,
Mel Gibson,age,birthdate,date,celebrity,,
Kevin Spacey,age,birthdate,date,celebrity,,
Ellen Page,age,birthdate,date,celebrity,,
Uma Thurman,age,birthdate,date,celebrity,,
Lucy Liu,age,birthdate,date,celebrity,,
Tom Hanks,age,birthdate,date,celebrity,,
Snoop Dogg,age,birthdate,date,celebrity,,
