,,,,,,,,
,Lorde,"Person, Celebrity",,,,,,
,Weird Al Yankovic,"Person, Celebrity",,,,,,
,Jennifer Aniston,"Person, Celebrity",,,,,,
,Arnold Schwarzenegger,"Person, Celebrity",,,,,,
,Dave Chapelle,"Person, Celebrity",,,,,,
,Johnny Depp,"Person, Celebrity",,,,,,
,Robert Downey Jr.,"Person, Celebrity",,,,,,
,Tom Hanks,"Person, Celebrity",,,,,,
,Jack Nicholson,"Person, Celebrity",,,,,,
,Christian Bale,"Person, Celebrity",,,,,,
,Will Smith,"Person, Celebrity",,,,,,
,Denzel Washington,"Person, Celebrity",,,,,,
,Rober De Niro,"Person, Celebrity",,,,,,
,Al Pacino,"Person, Celebrity",,,,,,
,Clint Eastwood,"Person, Celebrity",,,,,,
,Russell Crowe,"Person, Celebrity",,,,,,
,Liam Neeson,"Person, Celebrity",,,,,,
,Harrison Ford,"Person, Celebrity",,,,,,
,Hugh Jackman,"Person, Celebrity",,,,,,
,Samuel L Jackson,"Person, Celebrity",,,,,,
,Natalie Portman,"Person, Celebrity",,,,,,
,Meryl Streep,"Person, Celebrity",,,,,,
,Charlize Theron,"Person, Celebrity",,,,,,
,Nicole Kidman,"Person, Celebrity",,,,,,
,Jessica Alba,"Person, Celebrity",,,,,,
,Cate Blanchett,"Person, Celebrity",,,,,,
,Cameron Diaz,"Person, Celebrity",,,,,,
,Julianne Moore,"Person, Celebrity",,,,,,
,Rachel McAdams,"Person, Celebrity",,,,,,
,Reese Witherspoon,"Person, Celebrity",,,,,,
,Salma Hayek,"Person, Celebrity",,,,,,
,Zooey Deschanel,"Person, Celebrity",,,,,,
,Gwyneth Paltrow,"Person, Celebrity",,,,,,
,Stevie Wonder,"Person, Celebrity",,,,,,
,Paul McCartney,"Person, Celebrity",,,,,,
,Drake,"Person, Celebrity",,,,,,
,Adam Levine,"Person, Celebrity",,,,,,
,Enrique Iglesias,"Person, Celebrity",,,,,,
,Elton John,"Person, Celebrity",,,,,,
,Bruce Springsteen,"Person, Celebrity",,,,,,
,John Mayer,"Person, Celebrity",,,,,,
,Pitbull,"Person, Celebrity",,,,,,
,Madonna,"Person, Celebrity",,,,,,
,Adele,"Person, Celebrity",,,,,,
,Mariah Carey,"Person, Celebrity",,,,,,
,Lady Gaga,"Person, Celebrity",,,,,,
,Katy Perry,"Person, Celebrity",,,,,,
,Celine Dion,"Person, Celebrity",,,,,,
,Jennifer Lopez,"Person, Celebrity",,,,,,
,Shakira,"Person, Celebrity",,,,,,
,Janet Jackson,"Person, Celebrity",,,,,,
,Nicki Minaj,"Person, Celebrity",,,,,,
,,,,,,,,
